Hexagon Center,Number of Pixels,Alignment Metric,Adjusted Metric,Metric Squared,metric2
"(1004.5894683899488, 300.0)",215,0.5460685404587022,0.7233422134868046,0.29819085087869734,0.7286430889893919
"(1073.8715006927036, 300.0)",228,0.3706812746317427,0.5951771257726892,0.13740460736261348,0.6035763737256178
"(1143.1535329954588, 300.0)",166,0.6033775453390762,0.7555012986901732,0.3640644622194089,0.7600247329613032
"(1212.435565298214, 300.0)",131,0.32081775443640326,0.5508213238019464,0.10292403156161634,0.5602928668493511
"(1281.717597600969, 300.0)",76,0.23403099783671633,0.47828810247769393,0.05477050794844912,0.48951312565524807
"(1350.999629903724, 300.0)",105,0.8957992013425964,0.9430823057815918,0.8024562091260335,0.9430709963487598
"(1420.281662206479, 300.0)",95,0.32003009305535346,0.6667844587794481,0.1024192604610182,0.6734526098183291
"(1489.5636945092342, 300.0)",41,0.9642967531268953,0.9934656062933342,0.9298682280910725,0.9922362878609605
"(1558.8457268119894, 300.0)",nan,nan,nan,nan,nan
"(1628.1277591147443, 300.0)",nan,nan,nan,nan,nan
"(1697.4097914174995, 300.0)",nan,nan,nan,nan,nan
"(1766.6918237202547, 300.0)",nan,nan,nan,nan,nan
"(1835.9738560230096, 300.0)",nan,nan,nan,nan,nan
"(1905.2558883257648, 300.0)",nan,nan,nan,nan,nan
"(1974.53792062852, 300.0)",nan,nan,nan,nan,nan
"(2043.8199529312749, 300.0)",nan,nan,nan,nan,nan
"(2113.10198523403, 300.0)",nan,nan,nan,nan,nan
"(2182.3840175367854, 300.0)",nan,nan,nan,nan,nan
"(2251.6660498395404, 300.0)",nan,nan,nan,nan,nan
"(2320.9480821422953, 300.0)",nan,nan,nan,nan,nan
"(2390.2301144450507, 300.0)",nan,nan,nan,nan,nan
"(2459.5121467478057, 300.0)",nan,nan,nan,nan,nan
"(2528.7941790505606, 300.0)",nan,nan,nan,nan,nan
"(2598.076211353316, 300.0)",nan,nan,nan,nan,nan
